DistrictType,Office,Party,DistrictNumber,Votes,Year
Congressional District,Attorney General,Green,CD15,2883,2020
Congressional District,Attorney General,Green,CD16,3694,2020
Congressional District,Attorney General,Green,CD17,4263,2020
Congressional District,Attorney General,Green,CD18,5958,2020
Congressional District,Attorney General,Green,CD2,3618,2020
Congressional District,Attorney General,Green,CD3,6439,2020
Congressional District,Attorney General,Green,CD4,4420,2020
Congressional District,Attorney General,Green,CD5,3542,2020
Congressional District,Attorney General,Green,CD6,4058,2020
Congressional District,Attorney General,Green,CD7,4284,2020
Congressional District,Attorney General,Green,CD8,3609,2020
Congressional District,Attorney General,Green,CD9,3624,2020
Congressional District,Attorney General,Libertarian,CD1,7494,2020
Congressional District,Attorney General,Libertarian,CD10,7946,2020
Congressional District,Attorney General,Libertarian,CD11,7820,2020
Congressional District,Attorney General,Libertarian,CD12,6605,2020
Congressional District,Attorney General,Libertarian,CD13,6350,2020
Congressional District,Attorney General,Libertarian,CD14,6090,2020
Congressional District,Attorney General,Libertarian,CD15,6027,2020
Congressional District,Attorney General,Libertarian,CD16,7217,2020
Congressional District,Attorney General,Libertarian,CD17,8221,2020
Congressional District,Attorney General,Libertarian,CD18,7386,2020
Congressional District,Attorney General,Libertarian,CD2,3769,2020
Congressional District,Attorney General,Libertarian,CD3,4474,2020
Congressional District,Attorney General,Libertarian,CD4,7517,2020
Congressional District,Attorney General,Libertarian,CD5,5351,2020
Congressional District,Attorney General,Libertarian,CD6,7190,2020
Congressional District,Attorney General,Libertarian,CD7,7213,2020
Congressional District,Attorney General,Libertarian,CD8,5999,2020
Congressional District,Attorney General,Libertarian,CD9,7527,2020
Congressional District,Attorney General,Other,CD1,,2020
Congressional District,Attorney General,Other,CD10,,2020
Congressional District,Attorney General,Other,CD11,,2020
Congressional District,Attorney General,Other,CD12,,2020
Congressional District,Attorney General,Other,CD13,,2020
Congressional District,Attorney General,Other,CD14,,2020
Congressional District,Attorney General,Other,CD15,,2020
Congressional District,Attorney General,Other,CD16,,2020
Congressional District,Attorney General,Other,CD17,,2020
Congressional District,Attorney General,Other,CD18,,2020
Congressional District,Attorney General,Other,CD2,,2020
Congressional District,Attorney General,Other,CD3,,2020
Congressional District,Attorney General,Other,CD4,,2020
Congressional District,Attorney General,Other,CD5,,2020
Congressional District,Attorney General,Other,CD6,,2020
Congressional District,Attorney General,Other,CD7,,2020
Congressional District,Attorney General,Other,CD8,,2020
Congressional District,Attorney General,Other,CD9,,2020
Congressional District,Attorney General,Republican,CD1,200476,2020
Congressional District,Attorney General,Republican,CD10,195063,2020
Congressional District,Attorney General,Republican,CD11,229838,2020
Congressional District,Attorney General,Republican,CD12,221003,2020
Congressional District,Attorney General,Republican,CD13,251481,2020
Congressional District,Attorney General,Republican,CD14,211162,2020
Congressional District,Attorney General,Republican,CD15,230708,2020
Congressional District,Attorney General,Republican,CD16,194663,2020
Congressional District,Attorney General,Republican,CD17,184220,2020
Congressional District,Attorney General,Republican,CD18,115049,2020
Congressional District,Attorney General,Republican,CD2,72804,2020
Congressional District,Attorney General,Republican,CD3,31518,2020
Congressional District,Attorney General,Republican,CD4,161753,2020
Congressional District,Attorney General,Republican,CD5,138511,2020
Congressional District,Attorney General,Republican,CD6,172905,2020
Congressional District,Attorney General,Republican,CD7,168977,2020
Congressional District,Attorney General,Republican,CD8,160272,2020
Congressional District,Attorney General,Republican,CD9,212061,2020
Congressional District,Auditor,All,CD1,437300,2020
Congressional District,Auditor,All,CD10,390511,2020
Congressional District,Auditor,All,CD11,380223,2020
Congressional District,Auditor,All,CD12,338907,2020
Congressional District,Auditor,All,CD13,361558,2020
Congressional District,Auditor,All,CD14,372827,2020
Congressional District,Auditor,All,CD15,346369,2020
Congressional District,Auditor,All,CD16,355441,2020
Congressional District,Auditor,All,CD17,425021,2020
Congressional District,Auditor,All,CD18,382625,2020
Congressional District,Auditor,All,CD2,274880,2020
Congressional District,Auditor,All,CD3,375973,2020
Congressional District,Auditor,All,CD4,441709,2020
Congressional District,Auditor,All,CD5,396013,2020
Congressional District,Auditor,All,CD6,399882,2020
Congressional District,Auditor,All,CD7,370663,2020
Congressional District,Auditor,All,CD8,345781,2020
Congressional District,Auditor,All,CD9,349531,2020
Congressional District,Auditor,Democratic,CD1,207150,2020
Congressional District,Auditor,Democratic,CD10,164952,2020
Congressional District,Auditor,Democratic,CD11,129565,2020
Congressional District,Auditor,Democratic,CD12,95413,2020
Congressional District,Auditor,Democratic,CD13,87901,2020
Congressional District,Auditor,Democratic,CD14,129372,2020
Congressional District,Auditor,Democratic,CD15,88298,2020
Congressional District,Auditor,Democratic,CD16,131306,2020
Congressional District,Auditor,Democratic,CD17,201404,2020
Congressional District,Auditor,Democratic,CD18,236233,2020
Congressional District,Auditor,Democratic,CD2,188567,2020
Congressional District,Auditor,Democratic,CD3,330830,2020
Congressional District,Auditor,Democratic,CD4,246384,2020
Congressional District,Auditor,Democratic,CD5,236635,2020
Congressional District,Auditor,Democratic,CD6,202458,2020
Congressional District,Auditor,Democratic,CD7,179017,2020
Congressional District,Auditor,Democratic,CD8,159425,2020
Congressional District,Auditor,Democratic,CD9,110858,2020
Congressional District,Auditor,Green,CD1,4408,2020
Congressional District,Auditor,Green,CD10,4542,2020
Congressional District,Auditor,Green,CD11,3745,2020
Congressional District,Auditor,Green,CD12,3632,2020
Congressional District,Auditor,Green,CD13,3469,2020
Congressional District,Auditor,Green,CD14,3330,2020
Congressional District,Auditor,Green,CD15,3341,2020
Congressional District,Auditor,Green,CD16,4010,2020
Congressional District,Auditor,Green,CD17,4982,2020
Congressional District,Auditor,Green,CD18,6169,2020
Congressional District,Auditor,Green,CD2,3498,2020
Congressional District,Auditor,Green,CD3,5869,2020
Congressional District,Auditor,Green,CD4,5587,2020
Congressional District,Auditor,Green,CD5,4111,2020
Congressional District,Auditor,Green,CD6,4801,2020
Congressional District,Auditor,Green,CD7,4531,2020
Congressional District,Auditor,Green,CD8,4376,2020
Congressional District,Auditor,Green,CD9,3993,2020
Congressional District,Auditor,Libertarian,CD1,11405,2020
Congressional District,Auditor,Libertarian,CD10,13439,2020
Congressional District,Auditor,Libertarian,CD11,12454,2020
Congressional District,Auditor,Libertarian,CD12,11509,2020
Congressional District,Auditor,Libertarian,CD13,11802,2020
Congressional District,Auditor,Libertarian,CD14,11216,2020
Congressional District,Auditor,Libertarian,CD15,12481,2020
Congressional District,Auditor,Libertarian,CD16,13467,2020
Congressional District,Auditor,Libertarian,CD17,13782,2020
Congressional District,Auditor,Libertarian,CD18,11248,2020
Congressional District,Auditor,Libertarian,CD2,6835,2020
Congressional District,Auditor,Libertarian,CD3,5542,2020
Congressional District,Auditor,Libertarian,CD4,13375,2020
Congressional District,Auditor,Libertarian,CD5,9914,2020
Congressional District,Auditor,Libertarian,CD6,11142,2020
Congressional District,Auditor,Libertarian,CD7,12059,2020
Congressional District,Auditor,Libertarian,CD8,11003,2020
Congressional District,Auditor,Libertarian,CD9,12886,2020
Congressional District,Auditor,Other,CD1,,2020
Congressional District,Auditor,Other,CD10,,2020
Congressional District,Auditor,Other,CD11,,2020
Congressional District,Auditor,Other,CD12,,2020
Congressional District,Auditor,Other,CD13,,2020
Congressional District,Auditor,Other,CD14,,2020
Congressional District,Auditor,Other,CD15,,2020
Congressional District,Auditor,Other,CD16,,2020
Congressional District,Auditor,Other,CD17,,2020
Congressional District,Auditor,Other,CD18,,2020
Congressional District,Auditor,Other,CD2,,2020
Congressional District,Auditor,Other,CD3,,2020
Congressional District,Auditor,Other,CD4,,2020
Congressional District,Auditor,Other,CD5,,2020
Congressional District,Auditor,Other,CD6,,2020
Congressional District,Auditor,Other,CD7,,2020
Congressional District,Auditor,Other,CD8,,2020
Congressional District,Auditor,Other,CD9,,2020
Congressional District,Auditor,Republican,CD1,214337,2020
Congressional District,Auditor,Republican,CD10,207578,2020
Congressional District,Auditor,Republican,CD11,234459,2020
Congressional District,Auditor,Republican,CD12,228353,2020
Congressional District,Auditor,Republican,CD13,258386,2020
Congressional District,Auditor,Republican,CD14,228909,2020
Congressional District,Auditor,Republican,CD15,242249,2020
Congressional District,Auditor,Republican,CD16,206658,2020
Congressional District,Auditor,Republican,CD17,204853,2020
Congressional District,Auditor,Republican,CD18,128975,2020
Congressional District,Auditor,Republican,CD2,75980,2020
Congressional District,Auditor,Republican,CD3,33732,2020
Congressional District,Auditor,Republican,CD4,176363,2020
Congressional District,Auditor,Republican,CD5,145353,2020
Congressional District,Auditor,Republican,CD6,181481,2020
Congressional District,Auditor,Republican,CD7,175056,2020
Congressional District,Auditor,Republican,CD8,170977,2020
Congressional District,Auditor,Republican,CD9,221794,2020
Congressional District,President,All,CD1,445566,2020
Congressional District,President,All,CD10,398214,2020
Congressional District,President,All,CD11,387419,2020
Congressional District,President,All,CD12,345490,2020
Congressional District,President,All,CD13,368044,2020
Congressional District,President,All,CD14,381085,2020
Congressional District,President,All,CD15,352537,2020
Congressional District,President,All,CD16,365523,2020
Congressional District,President,All,CD17,433796,2020
Congressional District,President,All,CD18,391132,2020
Congressional District,President,All,CD2,295183,2020
Congressional District,President,All,CD3,390248,2020
Congressional District,President,All,CD4,450316,2020
Congressional District,President,All,CD5,406605,2020
Congressional District,President,All,CD6,405764,2020
Congressional District,President,All,CD7,384217,2020
Congressional District,President,All,CD8,357360,2020
Congressional District,President,All,CD9,357696,2020
Congressional District,President,Democratic,CD1,233446,2020
Congressional District,President,Democratic,CD10,190276,2020
Congressional District,President,Democratic,CD11,148540,2020
Congressional District,President,Democratic,CD12,107925,2020
Congressional District,President,Democratic,CD13,100081,2020
Congressional District,President,Democratic,CD14,136079,2020
Congressional District,President,Democratic,CD15,96987,2020
Congressional District,President,Democratic,CD16,146534,2020
Congressional District,President,Democratic,CD17,220282,2020
Congressional District,President,Democratic,CD18,252063,2020
Congressional District,President,Democratic,CD2,207023,2020
Congressional District,President,Democratic,CD3,356189,2020
Congressional District,President,Democratic,CD4,276766,2020
Congressional District,President,Democratic,CD5,264500,2020
Congressional District,President,Democratic,CD6,230974,2020
Congressional District,President,Democratic,CD7,199063,2020
Congressional District,President,Democratic,CD8,168862,2020
Congressional District,President,Democratic,CD9,121743,2020
Congressional District,President,Green,CD1,0,2020
Congressional District,President,Green,CD10,,2020
Congressional District,President,Green,CD11,,2020
Congressional District,President,Green,CD12,,2020
Congressional District,President,Green,CD13,,2020
Congressional District,President,Green,CD14,,2020
Congressional District,President,Green,CD15,,2020
Congressional District,President,Green,CD16,,2020
Congressional District,President,Green,CD17,,2020
Congressional District,President,Green,CD18,,2020
Congressional District,President,Green,CD2,,2020
Congressional District,President,Green,CD3,,2020
Congressional District,President,Green,CD4,,2020
Congressional District,President,Green,CD5,,2020
Congressional District,President,Green,CD6,,2020
Congressional District,President,Green,CD7,,2020
Congressional District,President,Green,CD8,,2020
Congressional District,President,Green,CD9,,2020
Congressional District,President,Libertarian,CD1,4687,2020
Congressional District,President,Libertarian,CD10,5830,2020
Congressional District,President,Libertarian,CD11,5813,2020
Congressional District,President,Libertarian,CD12,4996,2020
Congressional District,President,Libertarian,CD13,4363,2020
Congressional District,President,Libertarian,CD14,4053,2020
Congressional District,President,Libertarian,CD15,4538,2020
Congressional District,President,Libertarian,CD16,4750,2020
Congressional District,President,Libertarian,CD17,5419,2020
Congressional District,President,Libertarian,CD18,4291,2020
Congressional District,President,Libertarian,CD2,2182,2020
Congressional District,President,Libertarian,CD3,2371,2020
Congressional District,President,Libertarian,CD4,4689,2020
Congressional District,President,Libertarian,CD5,3437,2020
Congressional District,President,Libertarian,CD6,4889,2020
Congressional District,President,Libertarian,CD7,4539,2020
Congressional District,President,Libertarian,CD8,3593,2020
Congressional District,President,Libertarian,CD9,4948,2020
Congressional District,President,Other,CD1,,2020
Congressional District,President,Other,CD10,,2020
Congressional District,President,Other,CD11,,2020
Congressional District,President,Other,CD12,,2020
Congressional District,President,Other,CD13,,2020
Congressional District,President,Other,CD14,,2020
Congressional District,President,Other,CD15,,2020
Congressional District,President,Other,CD16,,2020
Congressional District,President,Other,CD17,,2020
Congressional District,President,Other,CD18,,2020
Congressional District,President,Other,CD2,,2020
Congressional District,President,Other,CD3,,2020
Congressional District,President,Other,CD4,,2020
Congressional District,President,Other,CD5,,2020
Congressional District,President,Other,CD6,,2020
Congressional District,President,Other,CD7,,2020
Congressional District,President,Other,CD8,,2020
Congressional District,President,Other,CD9,,2020
Congressional District,President,Republican,CD1,207433,2020
Congressional District,President,Republican,CD10,202108,2020
Congressional District,President,Republican,CD11,233066,2020
Congressional District,President,Republican,CD12,232569,2020
Congressional District,President,Republican,CD13,263600,2020
Congressional District,President,Republican,CD14,240953,2020
Congressional District,President,Republican,CD15,251012,2020
Congressional District,President,Republican,CD16,214239,2020
Congressional District,President,Republican,CD17,208095,2020
Congressional District,President,Republican,CD18,134778,2020
Congressional District,President,Republican,CD2,85978,2020
Congressional District,President,Republican,CD3,31688,2020
Congressional District,President,Republican,CD4,168861,2020
Congressional District,President,Republican,CD5,138668,2020
Congressional District,President,Republican,CD6,169901,2020
Congressional District,President,Republican,CD7,180615,2020
Congressional District,President,Republican,CD8,184905,2020
Congressional District,President,Republican,CD9,231005,2020
Congressional District,State Representative,All,CD1,439649,2020
Congressional District,State Representative,All,CD10,372622,2020
Congressional District,State Representative,All,CD11,347831,2020
Congressional District,State Representative,All,CD12,327039,2020
Congressional District,State Representative,All,CD13,327379,2020
Congressional District,State Representative,All,CD14,356848,2020
Congressional District,State Representative,All,CD15,329192,2020
Congressional District,State Representative,All,CD16,308536,2020
Congressional District,State Representative,All,CD17,411582,2020
Congressional District,State Representative,All,CD18,352702,2020
Congressional District,State Representative,All,CD2,242977,2020
Congressional District,State Representative,All,CD3,355631,2020
Congressional District,State Representative,All,CD4,440496,2020
Congressional District,State Representative,All,CD5,386408,2020
Congressional District,State Representative,All,CD6,393833,2020
Congressional District,State Representative,All,CD7,360551,2020
Congressional District,State Representative,All,CD8,341265,2020
Congressional District,State Representative,All,CD9,315709,2020
Congressional District,State Representative,Democratic,CD1,216418,2020
Congressional District,State Representative,Democratic,CD10,154258,2020
Congressional District,State Representative,Democratic,CD11,87754,2020
Congressional District,State Representative,Democratic,CD12,57240,2020
Congressional District,State Representative,Democratic,CD13,25787,2020
Congressional District,State Representative,Democratic,CD14,97187,2020
Congressional District,State Representative,Democratic,CD15,48664,2020
Congressional District,State Representative,Democratic,CD16,123717,2020
Congressional District,State Representative,Democratic,CD17,222526,2020
Congressional District,State Representative,Democratic,CD18,263955,2020
Congressional District,State Representative,Democratic,CD2,203327,2020
Congressional District,State Representative,Democratic,CD3,337144,2020
Congressional District,State Representative,Democratic,CD4,265714,2020
Congressional District,State Representative,Democratic,CD5,251960,2020
Congressional District,State Representative,Democratic,CD6,202092,2020
Congressional District,State Representative,Democratic,CD7,192014,2020
Congressional District,State Representative,Democratic,CD8,169498,2020
Congressional District,State Representative,Democratic,CD9,87178,2020
Congressional District,State Representative,Green,CD1,,2020
Congressional District,State Representative,Green,CD10,,2020
Congressional District,State Representative,Green,CD11,,2020
Congressional District,State Representative,Green,CD12,,2020
Congressional District,State Representative,Green,CD13,,2020
Congressional District,State Representative,Green,CD14,,2020
Congressional District,State Representative,Green,CD15,5584,2020
Congressional District,State Representative,Green,CD16,,2020
Congressional District,State Representative,Green,CD17,,2020
Congressional District,State Representative,Green,CD18,4197,2020
Congressional District,State Representative,Green,CD2,,2020
Congressional District,State Representative,Green,CD3,,2020
Congressional District,State Representative,Green,CD4,,2020
Congressional District,State Representative,Green,CD5,,2020
Congressional District,State Representative,Green,CD6,,2020
Congressional District,State Representative,Green,CD7,,2020
Congressional District,State Representative,Green,CD8,,2020
Congressional District,State Representative,Green,CD9,,2020
Congressional District,State Representative,Libertarian,CD1,,2020
Congressional District,State Representative,Libertarian,CD10,,2020
Congressional District,State Representative,Libertarian,CD11,,2020
Congressional District,State Representative,Libertarian,CD12,7387,2020
Congressional District,State Representative,Libertarian,CD13,,2020
Congressional District,State Representative,Libertarian,CD14,,2020
Congressional District,State Representative,Libertarian,CD15,,2020
Congressional District,State Representative,Libertarian,CD16,,2020
Congressional District,State Representative,Libertarian,CD17,,2020
Congressional District,State Representative,Libertarian,CD18,,2020
Congressional District,State Representative,Libertarian,CD2,,2020
Congressional District,State Representative,Libertarian,CD3,867,2020
Congressional District,State Representative,Libertarian,CD4,10365,2020
Congressional District,State Representative,Libertarian,CD5,,2020
Congressional District,State Representative,Libertarian,CD6,,2020
Congressional District,State Representative,Libertarian,CD7,,2020
Congressional District,State Representative,Libertarian,CD8,,2020
Congressional District,State Representative,Libertarian,CD9,4576,2020
Congressional District,State Representative,Other,CD1,,2020
Congressional District,State Representative,Other,CD10,,2020
Congressional District,State Representative,Other,CD11,,2020
Congressional District,State Representative,Other,CD12,,2020
Congressional District,State Representative,Other,CD13,,2020
Congressional District,State Representative,Other,CD14,,2020
Congressional District,State Representative,Other,CD15,,2020
Congressional District,State Representative,Other,CD16,2940,2020
Congressional District,State Representative,Other,CD17,,2020
Congressional District,State Representative,Other,CD18,,2020
Congressional District,State Representative,Other,CD2,54,2020
Congressional District,State Representative,Other,CD3,,2020
Congressional District,State Representative,Other,CD4,2678,2020
Congressional District,State Representative,Other,CD5,,2020
Congressional District,State Representative,Other,CD6,,2020
Congressional District,State Representative,Other,CD7,,2020
Congressional District,State Representative,Other,CD8,,2020
Congressional District,State Representative,Other,CD9,2449,2020
Congressional District,State Representative,Republican,CD1,223231,2020
Congressional District,State Representative,Republican,CD10,218364,2020
Congressional District,State Representative,Republican,CD11,260077,2020
Congressional District,State Representative,Republican,CD12,262412,2020
Congressional District,State Representative,Republican,CD13,301592,2020
Congressional District,State Representative,Republican,CD14,259661,2020
Congressional District,State Representative,Republican,CD15,274944,2020
Congressional District,State Representative,Republican,CD16,181879,2020
Congressional District,State Representative,Republican,CD17,189056,2020
Congressional District,State Representative,Republican,CD18,84550,2020
Congressional District,State Representative,Republican,CD2,39596,2020
Congressional District,State Representative,Republican,CD3,17620,2020
Congressional District,State Representative,Republican,CD4,161739,2020
Congressional District,State Representative,Republican,CD5,134448,2020
Congressional District,State Representative,Republican,CD6,191741,2020
Congressional District,State Representative,Republican,CD7,168537,2020
Congressional District,State Representative,Republican,CD8,171767,2020
Congressional District,State Representative,Republican,CD9,221506,2020
Congressional District,State Senator,All,CD1,0,2020
Congressional District,State Senator,All,CD10,262177,2020
Congressional District,State Senator,All,CD11,156754,2020
Congressional District,State Senator,All,CD12,237091,2020
Congressional District,State Senator,All,CD13,195560,2020
Congressional District,State Senator,All,CD14,176363,2020
Congressional District,State Senator,All,CD15,311024,2020
Congressional District,State Senator,All,CD16,242219,2020
Congressional District,State Senator,All,CD17,195370,2020
Congressional District,State Senator,All,CD18,279529,2020
Congressional District,State Senator,All,CD2,137999,2020
Congressional District,State Senator,All,CD3,214463,2020
Congressional District,State Senator,All,CD4,116143,2020
Congressional District,State Senator,All,CD5,187439,2020
Congressional District,State Senator,All,CD6,297706,2020
Congressional District,State Senator,All,CD7,0,2020
Congressional District,State Senator,All,CD8,5350,2020
Congressional District,State Senator,All,CD9,198960,2020
Congressional District,State Senator,Democratic,CD1,,2020
Congressional District,State Senator,Democratic,CD10,120101,2020
Congressional District,State Senator,Democratic,CD11,66359,2020
Congressional District,State Senator,Democratic,CD12,62458,2020
Congressional District,State Senator,Democratic,CD13,57973,2020
Congressional District,State Senator,Democratic,CD14,59866,2020
Congressional District,State Senator,Democratic,CD15,78596,2020
Congressional District,State Senator,Democratic,CD16,86887,2020
Congressional District,State Senator,Democratic,CD17,97511,2020
Congressional District,State Senator,Democratic,CD18,188029,2020
Congressional District,State Senator,Democratic,CD2,137999,2020
Congressional District,State Senator,Democratic,CD3,214463,2020
Congressional District,State Senator,Democratic,CD4,86232,2020
Congressional District,State Senator,Democratic,CD5,117490,2020
Congressional District,State Senator,Democratic,CD6,162209,2020
Congressional District,State Senator,Democratic,CD7,,2020
Congressional District,State Senator,Democratic,CD8,1688,2020
Congressional District,State Senator,Democratic,CD9,41182,2020
Congressional District,State Senator,Green,CD1,,2020
Congressional District,State Senator,Green,CD10,,2020
Congressional District,State Senator,Green,CD11,,2020
Congressional District,State Senator,Green,CD12,,2020
Congressional District,State Senator,Green,CD13,,2020
Congressional District,State Senator,Green,CD14,,2020
Congressional District,State Senator,Green,CD15,,2020
Congressional District,State Senator,Green,CD16,,2020
Congressional District,State Senator,Green,CD17,,2020
Congressional District,State Senator,Green,CD18,,2020
Congressional District,State Senator,Green,CD2,,2020
Congressional District,State Senator,Green,CD3,,2020
Congressional District,State Senator,Green,CD4,,2020
Congressional District,State Senator,Green,CD5,,2020
Congressional District,State Senator,Green,CD6,,2020
Congressional District,State Senator,Green,CD7,,2020
Congressional District,State Senator,Green,CD8,,2020
Congressional District,State Senator,Green,CD9,,2020
Congressional District,State Senator,Libertarian,CD1,,2020
Congressional District,State Senator,Libertarian,CD10,,2020
Congressional District,State Senator,Libertarian,CD11,,2020
Congressional District,State Senator,Libertarian,CD12,,2020
Congressional District,State Senator,Libertarian,CD13,,2020
Congressional District,State Senator,Libertarian,CD14,,2020
Congressional District,State Senator,Libertarian,CD15,,2020
Congressional District,State Senator,Libertarian,CD16,,2020
Congressional District,State Senator,Libertarian,CD17,,2020
Congressional District,State Senator,Libertarian,CD18,,2020
Congressional District,State Senator,Libertarian,CD2,,2020
Congressional District,State Senator,Libertarian,CD3,,2020
Congressional District,State Senator,Libertarian,CD4,,2020
Congressional District,State Senator,Libertarian,CD5,,2020
Congressional District,State Senator,Libertarian,CD6,,2020
Congressional District,State Senator,Libertarian,CD7,,2020
Congressional District,State Senator,Libertarian,CD8,,2020
Congressional District,State Senator,Libertarian,CD9,,2020
Congressional District,State Senator,Other,CD1,,2020
Congressional District,State Senator,Other,CD10,,2020
Congressional District,State Senator,Other,CD11,,2020
Congressional District,State Senator,Other,CD12,,2020
Congressional District,State Senator,Other,CD13,,2020
Congressional District,State Senator,Other,CD14,,2020
Congressional District,State Senator,Other,CD15,,2020
Congressional District,State Senator,Other,CD16,,2020
Congressional District,State Senator,Other,CD17,,2020
Congressional District,State Senator,Other,CD18,,2020
Congressional District,State Senator,Other,CD2,,2020
Congressional District,State Senator,Other,CD3,,2020
Congressional District,State Senator,Other,CD4,,2020
Congressional District,State Senator,Other,CD5,,2020
Congressional District,State Senator,Other,CD6,,2020
Congressional District,State Senator,Other,CD7,,2020
Congressional District,State Senator,Other,CD8,,2020
Congressional District,State Senator,Other,CD9,,2020
Congressional District,State Senator,Republican,CD1,,2020
Congressional District,State Senator,Republican,CD10,142076,2020
Congressional District,State Senator,Republican,CD11,90395,2020
Congressional District,State Senator,Republican,CD12,174633,2020
Congressional District,State Senator,Republican,CD13,137587,2020
Congressional District,State Senator,Republican,CD14,116497,2020
Congressional District,State Senator,Republican,CD15,232428,2020
Congressional District,State Senator,Republican,CD16,155332,2020
Congressional District,State Senator,Republican,CD17,97859,2020
Congressional District,State Senator,Republican,CD18,91500,2020
Congressional District,State Senator,Republican,CD2,,2020
Congressional District,State Senator,Republican,CD3,,2020
Congressional District,State Senator,Republican,CD4,29911,2020
Congressional District,State Senator,Republican,CD5,69949,2020
Congressional District,State Senator,Republican,CD6,135497,2020
Congressional District,State Senator,Republican,CD7,,2020
Congressional District,State Senator,Republican,CD8,3662,2020
Congressional District,State Senator,Republican,CD9,157778,2020
Congressional District,Treasurer,All,CD1,438167,2020
Congressional District,Treasurer,All,CD10,390555,2020
Congressional District,Treasurer,All,CD11,380028,2020
Congressional District,Treasurer,All,CD12,339600,2020
Congressional District,Treasurer,All,CD13,362149,2020
Congressional District,Treasurer,All,CD14,373371,2020
Congressional District,Treasurer,All,CD15,346377,2020
Congressional District,Treasurer,All,CD16,356363,2020
Congressional District,Treasurer,All,CD17,424754,2020
Congressional District,Treasurer,All,CD18,381770,2020
Congressional District,Treasurer,All,CD2,276773,2020
Congressional District,Treasurer,All,CD3,377185,2020
Congressional District,Treasurer,All,CD4,443111,2020
Congressional District,Treasurer,All,CD5,396765,2020
Congressional District,Treasurer,All,CD6,399589,2020
Congressional District,Treasurer,All,CD7,371988,2020
Congressional District,Treasurer,All,CD8,346318,2020
Congressional District,Treasurer,All,CD9,350708,2020
Congressional District,Treasurer,Democratic,CD1,218021,2020
Congressional District,Treasurer,Democratic,CD10,172326,2020
Congressional District,Treasurer,Democratic,CD11,130684,2020
Congressional District,Treasurer,Democratic,CD12,98345,2020
Congressional District,Treasurer,Democratic,CD13,94802,2020
Congressional District,Treasurer,Democratic,CD14,136490,2020
Congressional District,Treasurer,Democratic,CD15,97248,2020
Congressional District,Treasurer,Democratic,CD16,138676,2020
Congressional District,Treasurer,Democratic,CD17,207258,2020
Congressional District,Treasurer,Democratic,CD18,239322,2020
Congressional District,Treasurer,Democratic,CD2,192866,2020
Congressional District,Treasurer,Democratic,CD3,331567,2020
Congressional District,Treasurer,Democratic,CD4,257048,2020
Congressional District,Treasurer,Democratic,CD5,244043,2020
Congressional District,Treasurer,Democratic,CD6,209322,2020
Congressional District,Treasurer,Democratic,CD7,185162,2020
Congressional District,Treasurer,Democratic,CD8,165022,2020
Congressional District,Treasurer,Democratic,CD9,118498,2020
Congressional District,Treasurer,Green,CD1,4291,2020
Congressional District,Treasurer,Green,CD10,5675,2020
Congressional District,Treasurer,Green,CD11,4789,2020
Congressional District,Treasurer,Green,CD12,3877,2020
Congressional District,Treasurer,Green,CD13,3692,2020
Congressional District,Treasurer,Green,CD14,3352,2020
Congressional District,Treasurer,Green,CD15,3271,2020
